Name,Location,Year,Combustible,Kilometers,Transmission,Power [CV],Price [€],Financed Price,Dealer,Dealer Rating (over 5)
SEAT Arona 1.0 TSI Ecomotive S&S Style 115,Barcelona,2020, Gasolina,10.400,Manual,115,17.790,Con financiación,"TAES MOTOR, S.A., concesionario oficial Seat","2,5"
CUPRA León Sportstourer 1.4 TSI e-Hybrid DSG 245,Barcelona,2020, Híbrido Enchufable,6.100,Automático,245,35.900,Sin financiación,"TAES MOTOR, S.A., concesionario oficial Seat","2,5"
SEAT Ateca 1.5 EcoTSI S&S X-Perience DSG,Barcelona,2021, Gasolina,650,Automático,150,29.900,Con financiación,"TAES MOTOR, S.A., concesionario oficial Seat","2,5"
BMW Serie 3 335i Aut.,Almería,2006, Gasolina,194.000,Automático,306,15.900,Sin financiación,n/a,n/a
OPEL Mokka Mokka-e GS Ultimate-e,Alicante,2021, Eléctrico,5,Automático,136,30.400,Con financiación,n/a,n/a
LEXUS RX 450h Executive,Cáceres,2021, Híbrido,1.925,Automático,313,70.900,Con financiación,n/a,n/a
MERCEDES-BENZ Clase C C-CLASS 200 D AVANTGARDE,Murcia,2020, Diésel,12.300,Automático,160,35.500,Con financiación,n/a,n/a
AUDI Q2 1.6 30 TDI SPORT 116 5P,Murcia,2020, Diésel,19.551,Manual,116,28.300,Con financiación,n/a,n/a
HYUNDAI Kona EV Tecno 484 150kW,Madrid,2020, Eléctrico,10.000,Automático,204,4,Con financiación,GAMBOA OCASION,"4,0"
AUDI Q2 35 TFSI Sport 110kW,Murcia,2019, Gasolina,25.646,Manual,150,28.300,Con financiación,n/a,n/a
MERCEDES-BENZ EQC 400 4MATIC,Murcia,2020, Eléctrico,5.500,Automático,408,76.000,Con financiación,n/a,n/a
TOYOTA C-HR 1.8I 122CV HYBRID ADVANCE,Girona,2019, Híbrido,87.473,Automático,122,18.990,Sin financiación,n/a,n/a
FORD C-Max 1.0 Ecoboost Auto-S&S Trend+ 125,Alicante,2018, Gasolina,40.205,Manual,125,17.800,Sin financiación,n/a,n/a
PEUGEOT 5008 2.0HDI FAP Allure,Vizcaya,2012, Diésel,120.900,Manual,150,10.990,Sin financiación,n/a,n/a
NISSAN X-Trail 7P DIG-T 120 kW (160 CV) TEKNA,Madrid,2019, Gasolina,20.068,Manual,160,23.400,Con financiación,n/a,n/a
MITSUBISHI ASX 160DI-D Motion,Madrid,2017, Diésel,92.000,Manual,114,14.999,Con financiación,n/a,n/a
VOLKSWAGEN Tiguan 2.0TDI Sport 4Motion DSG 176kW (9.75),Valencia,2017, Diésel,48.950,Automático,240,38.500,Sin financiación,n/a,n/a
SEAT León 1.2 TSI S&S Style 110,Málaga,2017, Gasolina,58.000,Manual,110,14.500,Sin financiación,MARTINSA MOTOR,"4,5"
SEAT Alhambra 2.0TDI CR Eco. S&S Reference 150,Málaga,2018, Diésel,67.000,Manual,150,23.700,Sin financiación,MARTINSA MOTOR,"4,5"
MERCEDES-BENZ Clase C C-CLASS 220 D AMG LINE CP,Murcia,2018, Diésel,109.712,Automático,170,34.500,Con financiación,n/a,n/a
VOLVO V90 CC D4 AWD PRO AUT,Barcelona,2018, Diésel,84.361,Automático,190,32.685,Con financiación,DISELAUTO VOLVO,"4,5"
FORD Kuga 1.5 ECOBOOST 150 A-S-S 4X2 TITANIUM,Guipúzcoa,2015, Gasolina,89.000,Manual,150,14.900,Sin financiación,COCAR EXPOCASION Servicio Oficial,"3,0"
